id,lang,created_at,full_text,URL
1458993653993590802,en,Fri Nov 12 03:02:48 +0000 2021,"Kickass research team:

✅ Power analysis to justify sample size
✅ Open data and code
✅ Johnson-Neyman region of significance to probe the interaction 

 Open science bros:

bUT yEr pVAluEs",https://twitter.com/user/status/1458993653993590802
1458922020893343745,pt,Thu Nov 11 22:18:09 +0000 2021,"open data, PACER, FOIA https://t.co/bRxgJDRJGA",https://twitter.com/user/status/1458922020893343745
1458890832480714763,en,Thu Nov 11 20:14:14 +0000 2021,"I got a nice DM from someone recently. They had stumbled on an old comment of mine on the open data stackexchange, and it apparently was very useful for their research into police misconduct https://t.co/Qs2U2Vsmma",https://twitter.com/user/status/1458890832480714763
1458886330491052037,en,Thu Nov 11 19:56:20 +0000 2021,Huge congratulations to @OKFN for winning the Open Data award at #openukcop26 👏 🥳💪 https://t.co/1I3O48ha9H,https://twitter.com/user/status/1458886330491052037
1458881854090711050,en,Thu Nov 11 19:38:33 +0000 2021,"I think that better data on public transport costs in the UK would be amazing. Ideally much LESS data than we have now. Think about transport in London, the open data on fares is so simple. It's amazingly powerful. Elsewhere we get complexity and nuance which is far worse.",https://twitter.com/user/status/1458881854090711050
1458868011666968582,en,Thu Nov 11 18:43:33 +0000 2021,"We're delighted to have been shortlisted in the #opendata award category at #openukcop26 tonight. 

It's no shame to have been runner up to @OKFN. Congratulations to them! 👏 👏👏 https://t.co/45PatYJP9i",https://twitter.com/user/status/1458868011666968582
1458848937167699977,pt,Thu Nov 11 17:27:45 +0000 2021,"Só deu Brasil 🇧🇷 na sessão de ""Periodismo de datos, datos abiertos y visualización"", com @BeaMilz brilhando em três línguas na condução do painel. :)

Que em 2022 as condições permitam que a querida @LatinR_Conf volte a ser presencial, e que ainda mais brasileiros participem! https://t.co/q4B8I43oCv",https://twitter.com/user/status/1458848937167699977
1458844238452563978,es,Thu Nov 11 17:09:05 +0000 2021,"La @ComunidadMadrid ha dejado inaccesibles los datos de las Zonas Básicas de Salud (ZBS), pero sí los tiene, como se ve en el mapa.
¿Cómo es posible que vayamos para atrás como el cangrejo Sra @IdiazAyuso? #Transparencia #opendata https://t.co/nAau9TEwqv",https://twitter.com/user/status/1458844238452563978
1458828789912416262,es,Thu Nov 11 16:07:41 +0000 2021,"Avanzamos en ciberseguridad, economía digital, tecnologías emergentes, datos abiertos, habilidades digitales. Valoramos el aporte privado y los invitamos a seguir creyendo en el país.

Este importante espacio lo compartí con @mino_katherin y @RobertoFalconiC de @PuntonetEcuador.",https://twitter.com/user/status/1458828789912416262
1458825420569292804,en,Thu Nov 11 15:54:18 +0000 2021,"“The Story of how #Copernicus benefits European Citizens”

Copernicus #OpenData support market applications

Join the workshop to learn more about the benefits of #Sentinel 🇪🇺🛰️data for #society #environment #economy 

📅18-19 November 2021
▶️https://t.co/zctwBKuOUB https://t.co/QN3lfEi5ki",https://twitter.com/user/status/1458825420569292804
